regression_label,discussionId_1,discussionId_2,postId_1,postId_2,datasetId_1,sentenceId_1,sentenceId_2,datasetId_2,sentence_2,sentence_1
4.333333333,18153,13175,17,18,3,0,3,3,"If a person just raped someone (this is just an example) they shouldn't be killed for it, but something like a mass murdering or serial killing should be dealt with by putting them to death.","Yes there should be a death penalty but it should only be used in extreme circumstances like treason, mass murder, ordering murders from within prison, and killing someone in prison."
1.666666667,22346,2104,25,7,3,38,4,1,I am advocating life in prison without the option of parole.,"In every state that retains the death penalty, jurors have the option of sentencing convicted capital murderers to life in prison without the possibility of parole."
2.333333333,28050,4690,121,54,3,0,1,1,You need to find lots more for the death penalty to save more lives than innocents that have been executed by it.,so you weigh whatever monetary savings (if any) over the life of someone found innocent after conviction (even if rare)?
3.666666667,3065,4690,52,107,1,0,8,1,I am not a big proponent of the death penalty.,I am very conservative and I am opposed to abortion and the death penalty.
3,4690,4690,62,42,1,9,8,1,"(If a murderer is released and murders again, that has nothing to do with the death penalty, rather the sentencing laws, so doesn't contribute to the number of lives saved by the death penalty).","If it has nothing to do with the death penalty, how could it have anything to do with lives saved by the death penalty in the first place?"
1.333333333,31664,15556,24,15,3,1,3,3,Some crimes are so heinous that the person who committed the crime deserves to die: I would only agree to this if the execution erased the crime that was committed in the first place.,I also don't think someone has been put to death for a third degree murder.
1.333333333,28050,2104,203,51,3,18,9,1,"But if Capital punishment is used, it has to be used in all situations according to the precedent set, i.e. if the next person did not kill anyone and is wrongly convicted, he too must be executed.",The death penalty has been used as a scapegoat for many people who are against executions.
3,28050,2104,147,13,3,18,2,1,"The list of men on death row who were found to be innocent and released is long and growing, and we can only guess how many innocents have been put to death.",Firstly there has been no proof that an Innocent man has ever been placed on death row.
2,8212,30812,16,114,3,4,0,3,life in jail is better than death penalty...at least they would get the chance to suffer longer...maybe that would give them a sense of what they did...or aware them of how life works.,"The death penalty is gives the ability to off killers and murderers, as, if they were given life in parole, they have the ability to escape and continue their crimes."
1.333333333,1128,28050,5,30,1,0,28,3,I would prefer to live in a society where no death penalty was handed out cause there was no crime.,"I am ""for"" capital punishment... but if a criminal shows a desire for death over a life sentence, I prefer to be sadistic."
2.333333333,5572,17,36,72,1,27,2,1,"I was saying, if the death penalty wasn't legit, and life imprisonment was actually the righteous thing to do, the concern of escapes shouldn't keep us from doing what's right.",I say if they try to kill/escape from life w/o parole in prison that's all we should need for the death penalty.
3,15556,4690,15,107,3,8,8,1,I am not a big proponent of the death penalty.,"I'm not advocating getting rid of all punishment, just the most extreme form."
1.333333333,373,25683,22,110,1,2,0,3,"I see no point in letting someone live who does not want to live, or letting someone die who does not want to die.","However, I think that the government needs to provide undeinable proof of their guilt in order to be able to sentence someone to death."
2,1676,17,22,132,1,5,2,1,I am tired of seeing people on death row for 20 or 30 years before they are put to death.,There are some who need to be put to death.
