regression_label,discussionId_1,discussionId_2,postId_1,postId_2,datasetId_1,sentenceId_1,sentenceId_2,datasetId_2,sentence_2,sentence_1
1,9059,7651,27,130,1,13,4,1,Gun owners don't drive into crowds of people simply because they had a gun in their car.,"You have been shown the facts that most criminals get their guns from family members or they steal them, even from cops."
1.333333333,10783,9259,47,15,1,1,0,1,"No, but they might like to challenge the conclusion that states with less strict firearm laws are more often the source of guns used in crimes, in other states, than guns from states with stricter gun laws.","In some states, some guns are just not allowed and it sticks as a law."
1.333333333,1103,8368,42,52,1,2,8,1,I fail to see how asking about gun ownership is any different.,"I can understand your belief that gun control won't work and that owning guns is a good thing, I don't agree with it, but is hardly beyond comprehension."
1.333333333,674,657,5,46,1,21,10,1,"Simple if gun haters want people defending the right to bear arms to be in militias, why would you want the militias to have lesser weapons then the enemies they are defending against?",Gun haters are the extremist hate group demanding to ban the right to bear arms!
3.666666667,657,185,65,19,1,1,0,1,Gun haters will stop when the right to bear arms is banned!,Now if you want gun control laws that limit or ban the right to bear arms you are a gun haters.
1,10273,8015,30,1,1,6,0,1,Ian brought up the point that guns make you more likely to kill a person.,"You can't be a man unless you're swinging a gun, and no matter how many guns you buy, it's still missing for you ."
1.333333333,7964,4400,16,204,1,5,4,1,"It's just that on these forums, the words 'gun control' usually refer to extremely tight gun laws, or outright banning of guns.","It is legal to own weapons in this country, they are just tightly controlled, and as a result we have far less gun crime (particularly where it's not related to organised crime)."
1,8053,7482,1,18,1,4,9,1,Only why would you need gun registration if guns were illegal?,"So if you want to ban guns, 1,531,764 people will get killed or injured, and you'll only take guns out of the hands of those who don't even commit gun crimes."
1,9037,10057,261,115,1,67,7,1,"If a gun owner knowingly sells to a prohibited felon who commits a murder with the gun, then the felon alone is responsible for the murder.","If more guns present means that more criminals will be able to commit more killings and violent criminals, wouldn't they have allowed the ban to remain in place?"
1,9507,7969,44,3,1,1,0,1,It amasses me how many anti-gun nut activists have armed guards.,"I implied that there are people with guns that are nuts, not that all gun owners are nuts..."
4.666666667,8858,9841,86,34,1,8,13,1,Amendment protects the right of the states to arm their militias.,The 2nd amendment only protects a states right to own a Militia.
1,3029,8387,22,15,1,0,1,1,Gun control should be left to the person holding the gun.,Loose control of his firearm to a person who does not have the right to be in posession of the firearm.
1,10229,9009,31,99,1,7,7,1,The states with the higher numbers of minorities have the higher rates of gun control because they claim they have more crime.,"While proximity to the border appears to be a major factor affecting which states are top sources, controlling for population reveals that even among the Southwest border states, certain states export crime guns to Mexico at disproportionately higher rates."
2,640,6651,9,7,1,1,68,1,"It is asserted, therefore, that the D.C. gun control laws irrationally prevent only law abiding citizens from owning handguns.",Your advocating total violation of the constitution to prevent criminals from stealing guns from law abiding citizens.
1,5817,37757,14,29,1,7,3,3,"If anything, cops will come to where you live to take your guns, seeing as they work for the government.","If individual citizens should not, in your view, be permitted to own firearms, them make your case and let the amendment process work to make your view the law of the land."
1,160,8004,8,76,1,7,10,1,"You're right that gun control isn't about guns, however, but 'control' is a secondary matter, a means to an end.","Gun Control does not work, well unless you mean by working that crime sky rockets in which case I would have to agree with you and then question your motives as to why you would want it here."
3.333333333,1131,1131,42,28,1,1,0,1,Gun free zones are zones where law-abiding citizens are forbidden to have guns because law-abiding citizens obey the law about gun free zones.,Unarmed law-abiding citizens are victims of gun crimes because criminals do not obey the gun ban in that gun free zone.
1,1103,7482,46,7,1,6,21,1,"That most people can't be trusted, so we should have more laws against guns, which most people will abide by because they can be trusted.","They didn't shoot someone because they were criminals, they because criminals because they shot someone, Your point boils down to 'Laws do not work because people disobey them-we should have no laws'."
1,8025,9145,29,2,1,1,1,1,Or that someone has pointed out that gun rights advocates seem to have been panic-buying firearms in case the White House bans them?,Since they've never done this it's only safe to assume that they hate absolutely any kind of gun and want them all banned outright without exception.
1,7929,2686,95,5,1,0,1,1,"In England, where currently the private ownership of hand guns by the law abiding is absolutely prohibited, crimes involving the use of guns are rapidly increasing: only the criminals have access to them.","A law-abiding gun nut who uses their gun in committing a crime, is a criminal, and not law-abiding."
4,4400,9827,26,28,1,8,3,1,Name me one gun control law that has been effective as crime control!!!!!!,Gun control in the U.S. does not equal crime control.
1.333333333,8053,10011,40,240,1,9,4,1,We have a right to use a gun to defend ourselves and others.,We measured firearm protection as an attempted or completed crime in which the victim reported using a gun to attack or threaten an offender.
1,534,173,64,98,1,7,4,1,Gun haters are like the dangerous criminals the gun haters want to keep guns away from.,A criminal with a gun will feel a lot more confident in committing a crime than a criminal without a gun will just as a criminal will avoid those who have guns and target those who don't.
4,657,674,65,5,1,1,21,1,Gun haters are the extremist hate group demanding to ban the right to bear arms!,Now if you want gun control laws that limit or ban the right to bear arms you are a gun haters.
1.333333333,8182,2280,118,5,1,1,5,2,"While their by no means should be an outlaw of guns, I do believe restrictions should be put in place.","I haven't seen anyone explain how another gun control law will fight crime, how it'll make anyone safer, how it'll put criminals away longer, etc."
1,9496,10098,15,145,1,7,1,1,Please show me what law prevents amending the constitution to repeal another amendment.,I have to wonder what incorporation under the XIVth amendment will do to all the knee jerk laws that were passed as crime control and is proven bad law already.
2,1073,7991,45,22,1,1,1,1,Its liberals like you who make it easy for criminals to get their hands on guns and liberals like you who make it possible for them to be used in the murders for which your nation is famed.,Do you think that a gun-ban in the long run would mean that more criminals get their hands on guns or that less criminals get their hands on guns?
2.333333333,8891,9463,2,12,1,14,2,1,"If this is the case, then gun laws have a provable effect on how 'armed' criminals are - more gun control = less gun-carrying criminals, fact.","Private citizens can never hope to acquire firearms when gun control laws exist, but all 'criminals' have instant connections to black-market arms dealers."
2.666666667,2927,10199,82,79,1,2,8,1,You guys have willed yourselves just as retarded as the people who claimed (And still claim) that the second amendment only conveys a right for the national guard to have weapons.,Some passionately assert that the Amendment protects an individual's right to own guns.
1,339,534,29,95,1,8,4,1,"If that means gun control then so be it, but it does not.","Finally it mentions that Swiss ""gun control"" is not the reason for the low crime rates and, granted, it also mentions that this system is not proof that more guns means less crime."
1,1145,546,66,126,1,2,26,1,If you want to end gun deaths you can eliminate the guns and in the US that saves a lot of lives on paper.,The fact that you like cars is why you will tolerate the fact that more kids are killed by cars then guns.
2,4813,10229,8,10,1,5,30,1,This is the same logic the gun control supporters apply to people exercising their Second Amendment rights.,They argue that the second amendment allows the people the power of weapons so that if the government intrudes on their rights they can defend themselves.
2.333333333,173,28080,106,443,1,48,0,3,Making guns illegal wouldn't solve anything except to take them away from people that want to defend themselves.,In my view I think that complete gun control helps solve a major problem in crime and it would allow people to feel safer because they wouldn't need to have a gun to protect themselves.
1.666666667,28080,123,24,11,3,33,4,1,Most violent crime with guns occurs at knife fighting range.,"Knives are used almost as often if not more so in crimes than are guns, the reason nobody is pushing to ban knives is because knives don't have the same negative cultural association guns have."
1,7840,8368,37,25,1,4,0,1,The only time in my life I have seen someone who owned a gun use it against some one they got into an argument with was when that person was under the influence of drugs and alcohol.,This appeared to me to be an argument that self defense cannot exist if a gun is used.
