regression_label,discussionId_1,discussionId_2,postId_1,postId_2,datasetId_1,sentenceId_1,sentenceId_2,datasetId_2,sentence_2,sentence_1
1.333333333,2915,2718,61,58,1,6,6,1,The idea that we should disallow same-sex marriage simply because it is a norm in society implies that we do not have a reason to deny same-sex marriage except for the norms of the society.,"Even though denying polygamous marriage is not actually a destruction of equality, one might still say, ""Well, even though denying polygamous marriage isn't as bad as denying same-sex marriage, why do we deny it?"
3,2915,1281,61,552,1,6,4,1,"If it is, as proponents suggest, discrimination to deny same-sex couples the privilege of marriage, then it is also discrimination to deny the privilege to anyone else who wants to get married.","Even though denying polygamous marriage is not actually a destruction of equality, one might still say, ""Well, even though denying polygamous marriage isn't as bad as denying same-sex marriage, why do we deny it?"
2.666666667,2915,2915,61,91,1,6,4,1,"However, some arguments in support of same-sex marriage have nothing to do with polygamous marriage.","Even though denying polygamous marriage is not actually a destruction of equality, one might still say, ""Well, even though denying polygamous marriage isn't as bad as denying same-sex marriage, why do we deny it?"
1.666666667,2915,3089,61,117,1,6,21,1,"So long as we deny same-sex marriage, we admit to the government that they have the power to deny rights to minorities simply because the majority says so.","Even though denying polygamous marriage is not actually a destruction of equality, one might still say, ""Well, even though denying polygamous marriage isn't as bad as denying same-sex marriage, why do we deny it?"
1.333333333,2915,4339,61,106,1,6,24,1,I have explained how denying same-sex marriage harms same-sex couples.,"Even though denying polygamous marriage is not actually a destruction of equality, one might still say, ""Well, even though denying polygamous marriage isn't as bad as denying same-sex marriage, why do we deny it?"
1,2915,1613,61,356,1,6,1,1,"How does that still justify denying marriage to same-sex couples if the same ""privilege"" is given to opposite sex couples?","Even though denying polygamous marriage is not actually a destruction of equality, one might still say, ""Well, even though denying polygamous marriage isn't as bad as denying same-sex marriage, why do we deny it?"
1.333333333,9391,2915,270,305,1,4,13,1,"The problem is not the mindset of homosexuals, the problem is that people assume the worst, when in reality gay people are just as committed in their relationships as straight people.","People secure in their heterosexual identity or way of life, have nothing to concern themselves with if gays are being accepted."
2,9391,5890,270,13,1,4,1,1,"If two people should be allowed to ""do their own business"" in peace than why not gays?","People secure in their heterosexual identity or way of life, have nothing to concern themselves with if gays are being accepted."
1,9391,9331,270,210,1,4,0,1,What you are missing is that if gay people have the right to marry then their marriage must be recognised under equal protection.,"People secure in their heterosexual identity or way of life, have nothing to concern themselves with if gays are being accepted."
1.666666667,9391,1613,270,25,1,4,0,1,I think their point is that homosexual tax payers should not benefit from marriage benefits as the heterosexual community will receive more benefits if they don't include homosexual life partners in the benefits.,"People secure in their heterosexual identity or way of life, have nothing to concern themselves with if gays are being accepted."
4,7691,14482,13,163,1,2,13,3,"Not to mention visitation rights in hospitals, or any one of the thousands of rights denied gay couples.","Gay marriage or not, the hospital could have and should have allowed visitation."
1.333333333,7691,14482,13,313,1,2,4,3,But not allowing gay marriage hurts all homosexual couples to a greater extent than the prior.,"Gay marriage or not, the hospital could have and should have allowed visitation."
1,7691,2514,13,25,1,2,0,1,"How is allowing gay couples to marry an ""anything goes"" version of marriage.","Gay marriage or not, the hospital could have and should have allowed visitation."
1,7691,3621,13,146,1,2,19,1,"Our choices are not limited to either not allow gay marriage, or else allow any type of ""arrangement"".","Gay marriage or not, the hospital could have and should have allowed visitation."
1,7691,10073,13,74,1,2,3,1,If gay couples are allowed to marry then any combination of marriage should be allowed as long as it involves consenting adults.,"Gay marriage or not, the hospital could have and should have allowed visitation."
2.333333333,6450,9331,6,126,1,1,5,1,(and again.... Government recognition of your marriage is not a right),"People keep touting how marriage is a ""religious"" institution, but what if the government were trying to decide whether or not Christian marriages would have legal recognition?"
2,6450,3335,6,63,1,1,5,2,"If marriage was just a religious thing, then only the religious would be able to do it right?","People keep touting how marriage is a ""religious"" institution, but what if the government were trying to decide whether or not Christian marriages would have legal recognition?"
3,6450,47,6,248,1,1,1,2,"Marriages are for the Church to decide, Congress have no power to pass a legislation forcing religious institutions about marriage.","People keep touting how marriage is a ""religious"" institution, but what if the government were trying to decide whether or not Christian marriages would have legal recognition?"
1.333333333,7858,7185,379,78,1,3,7,1,"I say it applies to everyone and if the law said ""if you are gay you can't marry"" then I'd say that denied equal protection.","If you are saying that Massachusetts and California decided correctly because marriage is a common law institution, I would have to disagree."
1.333333333,8438,4295,9,20,1,1,2,2,"I didn't say marriage was about just reproduction you incoherent person, marriage is just friendship with sex added.",You're saying the right to marriage is satisfied as long as you are allowed to marry one person irrespective of who that person is or whatever qualities that person may have.
1.333333333,8438,9391,9,547,1,1,5,1,Ok so if you dont have to have the ability to have children to get married then why are you using that as an argument against same sex marriage?,You're saying the right to marriage is satisfied as long as you are allowed to marry one person irrespective of who that person is or whatever qualities that person may have.
1.333333333,8438,10416,9,25,1,1,3,1,Currently if you are a man and woman you are special because as a couple you can do something a gay couple can not.,You're saying the right to marriage is satisfied as long as you are allowed to marry one person irrespective of who that person is or whatever qualities that person may have.
3,8438,6743,9,14,1,1,2,1,"Marriage is already a civil right everyone has--you have it too, because you can marry someone of opposite-gender right now.",You're saying the right to marriage is satisfied as long as you are allowed to marry one person irrespective of who that person is or whatever qualities that person may have.
2.666666667,8438,6124,9,14,1,1,1,1,Either all people should be allowed to marry the person of their choice or no one should be allowed to marry.,You're saying the right to marriage is satisfied as long as you are allowed to marry one person irrespective of who that person is or whatever qualities that person may have.
1.666666667,8438,6124,9,61,1,1,2,1,"If you think the benefits given to married people are innapropriate or unjust, that is a different topic than denying people the right to marry the person they choose.",You're saying the right to marriage is satisfied as long as you are allowed to marry one person irrespective of who that person is or whatever qualities that person may have.
