id,argument1,argument2,topic,score
1775,"Dan Price , who founded and runs Gravity Payments ( a credit card processing center ) , just committed to making sure that every single one of his employees makes at least $ 70,000 per year within three years .",Raising the minimum wage would not reduce crime.,Minimum wage,0.3035714286
1776,"Meanwhile , the Underwear Institute warned that this and other laws were pushing up the cost of labor which would lead to “ increased use of machinery with the effect of displacing manpower . ”","If the minimum wage is increased, companies may use more robots and automated processes to replace service employees.",Minimum wage,0.6964285714
1777,“ We need to stop corporations from taking jobs to cheaper labor markets .,Increasing the minimum wage would reduce poverty.,Minimum wage,0.3571428571
1778,"I mean , nobody works for minimum wage , back to this whole notion of showing up on time and wearing clean clothes gets you way above the minimum wage … I just think when government gets involved in setting wages , there 's no stopping what government will intervene in doing . """,A minimum wage increase would help to reduce race and gender inequality.,Minimum wage,0.2678571429
1779,But a 2011 study conducted by Ken Jacobs and Dave Graham-Squire at the UC-Berkeley Center for Labor Research and Education and Stephanie Luce at CUNY ’s Murphy Institute for Worker Education and Labor Studies estimated that raising the minimum wage to $ 12 per hour – two bucks more than what ’s currently on the table – would increase the cost of an average shopping trip to Wal-Mart by just 46 cents – or around $ 12 per year .,Raising the minimum wage would lead to a healthier population and prevent premature deaths.,Minimum wage,0.4107142857
1780,"That may seem like a negligible amount , but over the long run it can add up fast .",Raising the minimum wage would encourage companies to outsource jobs to countries where costs would be lower.,Minimum wage,0.3392857143
1781,"More workers being able to pay for their basic expenses is a good thing , as it may lead to less reliance on government - and state-sponsored financial-aid programs .",Increasing the minimum wage would increase worker productivity and reduce employee turnover.,Minimum wage,0.5178571429
1782,"“ It ’s a win-win when employees can concentrate on serving customers , without worrying about how they are going to make rent or put food on their own table , ” he says .","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.5
1783,CARSON : I would not raise it .,"Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.3392857143
1784,Living wage varies drastically depending on location and circumstance .,Raising the minimum wage would increase housing costs.,Minimum wage,0.4642857143
1785,"In a time when the median income for women is 78 % of the national median income , and African Americans and Hispanics make 67 % and 79 % of the median income respectively , increasing the minimum wage is necessary to create a more equitable income distribution for disadvantaged groups .",The minimum wage has not kept up with inflation.,Minimum wage,0.3571428571
1786,The company continued to operate for another 41 years .,Raising the minimum wage would disadvantage low-skilled workers.,Minimum wage,0.1785714286
1787,"Given the weakness of our present economy and the long-term erosion of middle-class jobs in this country , it might be even harder to move up today .",Teenagers and young adults may be shut out of the workforce if the minimum wage is increased.,Minimum wage,0.4464285714
1788,THE HIGHER YOU MAKE THE MINIMUMWAGE THE MORE JOBS ARE GON NA BEDESTROYED .,Raising the minimum wage would decrease high school enrollment rates and increase drop-out rates.,Minimum wage,0.4821428571
1789,"Don Boudreaux , PhD , Adjunct Scholar at the Cato Institute , explained , "" the minimum wage cuts off the first rung of the employment ladder , and it 's that first lowest paying rung that provides the skills and experience workers need to reach the next rung and to continue climbing their way to a better life . """,A minimum wage increase would hurt businesses and force companies to close.,Minimum wage,0.5535714286
1790,The minimum wage has not kept up with inflation .,Increasing the minimum wage would reduce poverty.,Minimum wage,0.4821428571
1791,"They say that instead of forcing businesses to cut staff , raising wages simply spurs them to become more efficient .",Improvements in productivity and economic growth have outpaced increases in the minimum wage.,Minimum wage,0.5178571429
1792,"Thus , those higher wages will be passed on through greater levels of spending power .",The minimum wage has not kept up with inflation.,Minimum wage,0.4285714286
1793,If minimum wage was increased by a mere 30 % most workers would lose over 91 % in government benefits .,A minimum wage increase would help to reduce race and gender inequality.,Minimum wage,0.3214285714
1794,That describes how they view the minimum wage as a means of addressing poverty : It 's like chipping away at a problem with a hammer when more precise tools are at hand .,Raising the minimum wage would increase poverty.,Minimum wage,0.4464285714
1795,But I would not have gotten those jobs if someone had to pay me a large amount of money .,"Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.4285714286
1796,"Sanderson and many other economists and public policy experts fear a number of unintended consequences if the minimum wage is raised from its current level to $ 10.10 per hour , as President Barack Obama has proposed .",Raising the minimum wage would lead to a healthier population and prevent premature deaths.,Minimum wage,0.4107142857
1797,"Raising the federal minimum wage to $ 15 an hour is a simple and effective way to fight growing inequality and empower working people to provide a decent life for their families . ""","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.5
1798,"The measure approved then contains an automatic cost-of-living adjustment clause , which has put the current minimum wage at $ 8.05 ; in January , that will go to $ 8.15 .",Raising the minimum wage would increase housing costs.,Minimum wage,0.4285714286
1799,Even some cities are raising their minimum wage .,"If the minimum wage is increased, companies may use more robots and automated processes to replace service employees.",Minimum wage,0.4642857143
1800,"Adjustments to total compensation following minimum wage laws will disadvantage workers in the form of reduced hours , reduced fringe benefits , and reduced on-the-job training .",Raising the minimum wage would increase economic activity and spur job growth.,Minimum wage,0.4642857143
1801,"Since the government does not hire surplus labor , the labor surplus takes the form of unemployment , which tends to be higher with minimum wage laws than without them .",Raising the minimum wage would increase housing costs.,Minimum wage,0.3571428571
1802,Thus this price effect may harm the very people whom a minimum wage is supposed to help .,Increasing the minimum wage would reduce poverty.,Minimum wage,0.4107142857
1803,"The economics of the minimum wage are complicated , and it ’s far from obvious what an increase would accomplish .",Raising the minimum wage would disadvantage low-skilled workers.,Minimum wage,0.4464285714
1804,"The recent Congressional Budget Office report on the minimum wage estimates that an increase to $ 10.10 per hour would boost the weekly earnings of 16.5 million low-wage workers and bring 900,000 people above the poverty line .",Raising the minimum wage would decrease high school enrollment rates and increase drop-out rates.,Minimum wage,0.4642857143
1805,"While the estimates of how much the minimum wage should be increased vary , many economists agree that if it had kept pace with rising productivity and incomes , it would be higher than the current $ 7.25 an hour .",Increasing the minimum wage would reduce poverty.,Minimum wage,0.4821428571
1806,"For example , a gas station employs far fewer minimum-wage service personnel than a restaurant , and will be relatively unaffected by paying them another dollar per hour .",Raising the minimum wage would increase school attendance and decrease high school drop-out rates.,Minimum wage,0.3571428571
1807,There is no good reason not to increase the federal minimum wage .,Raising the minimum wage would lead to a healthier population and prevent premature deaths.,Minimum wage,0.5714285714
1808,"Even low-skill , entry-level positions in many areas already pay higher than minimum wage .",Raising the minimum wage would decrease employee benefits and increase tax payments.,Minimum wage,0.2857142857
1809,"As businesses look to cut costs after the minimum-wage raise , worker benefits could be the first to go .","If the minimum wage is increased, companies may use more robots and automated processes to replace service employees.",Minimum wage,0.5714285714
1810,"However , they also tested restaurants outside of Seattle and saw increases there as well , meaning that it could reflect higher food costs or other factors beyond the minimum wage hike .","If the minimum wage is increased, companies may use more robots and automated processes to replace service employees.",Minimum wage,0.4464285714
1811,"Economists from the Federal Reserve Bank of Chicago predicted that a $ 1.75 rise in the federal minimum wage would increase aggregate household spending by $ 48 billion the following year , thus boosting GDP and leading to job growth .",Raising the minimum wage would increase housing costs.,Minimum wage,0.5714285714
1812,"A uniform federal minimum wage may be sub-optimal for many states , and uniform state minimum wages may be sub-optimal for many cities .",Increasing the federal minimum wage would disproportionately harm the poorest areas of the United States.,Minimum wage,0.6607142857
1813,Establishing a minimum wage in the United States helped do away with sweat shops and insures that people are paid properly for their work .,Increasing the federal minimum wage would disproportionately harm the poorest areas of the United States.,Minimum wage,0.5178571429
1814,Raising the minimum wage and indexing it to inflation would ensure that low-wage workers could adopt a standard of living commensurate with the current economy .,"Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.6607142857
1815,"Rather , economic analysis raises questions about whether a higher minimum wage will achieve better outcomes for the economy and reduce poverty .",A higher minimum wage would reduce government welfare spending.,Minimum wage,0.6607142857
1816,"Raise minimum wages too high , and you ’ll eventually choke off employment , harming the very people that the policy is intended to help .",The current minimum wage is not high enough to allow people to afford housing.,Minimum wage,0.4107142857
