id,argument1,argument2,topic,score
0,"When coupled with laws aimed at eliminating early access to abortion , current late term abortion bans seem more about further preventing women from accessing abortion than a good-faith attempt at balancing women ’s reproductive rights with bioethical concerns .",Many religious organizations and people of faith support women's reproductive choice. ,Abortion,0.3214285714
1,Abortion is not a question of morality it is a question of providing options to prevent and mitigate risks in certain circumstances .,A baby should not come into the world unwanted. ,Abortion,0.5178571429
2,"They also add that if abortion was illegal , the procedure would be performed , regardless – the only difference being that it would be performed under dangerous , substandard conditions .",Abortion promotes a culture in which human life is disposable.,Abortion,0.4821428571
3,Compare that to nearly 40 years of data showing that we would save more than three times as many unborn children by cutting the number of poor women in half .,Modern abortion procedures are safe and do not cause lasting health issues such as cancer and infertility.,Abortion,0.4107142857
4,"If we do n't know when a human person comes into existence ( but we know it happens sometime between conception and birth ) , should n't we prevent abortions throughout that entire stage ?",Reproductive choice protects women from financial disadvantage. ,Abortion,0.3571428571
5,"But clearly , involuntary euthanasia is wrong ; clearly , there is a difference between imposing power on another and freely making a contract with another .","The original text of the Hippocratic Oath, traditionally taken by doctors when swearing to practice medicine ethically, forbids abortion.",Abortion,0.5892857143
6,There are a number of points to make regarding the charge that countless women will die .,Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term. ,Abortion,0.4821428571
7,"P.S. I am a teenager , so I do n't have a lot of experience , but I still think abortion should be avoided until the day that it becomes illegal .",Reproductive choice empowers women by giving them control over their own bodies. ,Abortion,0.375
8,The only definition that makes sense is that someone becomes a human at conception because that is the only meaningful change in someone ’s life .,Women should not be able to use abortion as a form of contraception. ,Abortion,0.3571428571
9,"They are desperate , alone , scared , probably ashamed , and without options .",A baby should not come into the world unwanted. ,Abortion,0.625
10,"They attributed the drop in crime to a reduction in individuals said to have a higher statistical probability of committing crimes : unwanted children , especially those born to mothers who are African American , impoverished , adolescent , uneducated , and single .",Many religious organizations and people of faith support women's reproductive choice. ,Abortion,0.2857142857
11,"If a group believes that abortion is murder , then that group ought to advocate that abortion be treated as murder .","Life begins at conception, so unborn babies are human beings with a right to life. ",Abortion,0.625
12,"I believe that every single human being is entitled to the protection of our laws , whether they can vote or not .",Modern abortion procedures are safe and do not cause lasting health issues such as cancer and infertility.,Abortion,0.2678571429
13,The only definition that makes sense is that someone becomes a human at conception because that is the only meaningful change in someone ’s life .,Reproductive choice empowers women by giving them control over their own bodies. ,Abortion,0.5714285714
14,The choice to become a mother must in the very least be given to the woman .,"The US Supreme Court has declared abortion to be a ""fundamental right"" guaranteed by the US Constitution.",Abortion,0.7321428571
15,"All the risks she faces are multiplied a hundred fold , and the child must face them as well .",Allowing abortion conflicts with the unalienable right to life recognized by the Founding Fathers of the United States.,Abortion,0.4464285714
16,"The state may protect unborn life in ways it would not , but for stereotypical assumptions about women ’s sexual or maternal roles .",Abortion may lead to future medical problems for the mother. ,Abortion,0.4285714286
17,"And why is this particular degree of development ( i.e. , higher brain function ) decisive rather than another ?",Abortion is justified as a means of population control. ,Abortion,0.3392857143
18,"They use these words over and over , as if repeating them often enough will somehow make us all decide that an acorn is actually an oak tree and having a carton of eggs in the fridge is the same as owning a dozen chickens .",Abortions reduce the number of adoptable babies. ,Abortion,0.2678571429
19,"Until genetic testing massively improves I feel lowering the limit to 20-22 weeks will push abortions due to abnormalities into much more difficult legal territory for no clear benefit as the surrounding issues with disability ( lack of resources , social attitudes , health issues ) are nowhere near resolved .",Abortion reduces welfare costs to taxpayers. ,Abortion,0.2678571429
20,Social Issues : Abortion should be limited .,"Life begins at conception, so unborn babies are human beings with a right to life. ",Abortion,0.5535714286
21,"The fetus is in no real sense “ part ” of the mother , but is a separate and distinct human being .","Abortion is the killing of a human being, which defies the word of God.",Abortion,0.6071428571
22,"Until then , millions of us will be guided by our own moral values and life goals to end pregnancies we believe are ill-conceived , so that we can devote our lives to the people and dreams that we hold most dear .",A baby should not come into the world unwanted. ,Abortion,0.5740740741
23,"3 months . . . 3 years , by all the arguments listed above we should be able to snuff out the kid whenever it becomes convenient . ”",Abortion reduces crime.,Abortion,0.1607142857
24,We should n't penalize someone for life .,Abortions cause psychological damage. ,Abortion,0.4107142857
