topic	sentence_1	sentence_2	label
Fracking	As a water-poor state, fracking and its toxic wastewater presents a serious danger to our communities and ecosystems.	"Such a practice could potentially cause ""unstable ground structure"" and polluted ""land and waterways"" leading to acute ""public health"" concerns , he warned."	SS
Fracking	The EPA found that compounds likely associated with fracking chemicals had been detected in the groundwater beneath Pavillion.	And the toxic chemicals and heavy metals associated with fracking operations can contaminate the soil, air and water, leach into crops, and kill livestock.	SS
Fracking	One fear about fracking is that it will result in natural gas and toxic chemicals seeping into groundwater that is used for drinking water.	Fracking pollution also poses a huge risk to water supplies in impoverished agricultural communities in the Central Valley where water pollution is already a serious problem.	HS
Fracking	And fracking generates toxic air pollution that would endanger communities surrounding the forest and pose unknown risks to the forest itself.	Water Pollution and Shortages :  Fracking uses toxic chemicals like benzene (a carcinogen) and toluene and generates massive amounts of toxic wastewater.	NS
Fracking	Soils will have been contaminated, surface waters will have been contaminated, groundwater will have been contaminated.	The hazardous chemicals may cause contamination of well water used for drinking or irrigation in towns near oil wells.	HS
Fracking	Water contamination is a particular hazard with fracking because hundreds of toxic chemicals are used in fracking fluid.	"Nevertheless, the EPA and the media claim that shale companies keep the fracking chemicals they use ""top secret"" and that these chemicals could contaminate groundwater."	SS
Fracking	The hazardous chemicals may cause contamination of well water used for drinking or irrigation in towns near oil wells.	One fear about fracking is that it will result in natural gas and toxic chemicals seeping into groundwater that is used for drinking water.	HS
Fracking	"""They will be compromised and will become part of botnets."""	Hype and Reality Right now, there is a great deal of hype surrounding virtual reality.	DTORCD
Fracking	Water Pollution Fracking pollutes water by mixing millions of gallons of water with toxic chemicals.	Water contamination is a particular hazard with fracking because hundreds of toxic chemicals are used in fracking fluid.	HS
Gene editing	* You can extend your rental up to 14 days - at the same cheap daily rental rate.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	DTORCD
Gene editing	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	According to Church, CRISPR technology is on the scale of 100 times easier, ten times more efficient, and increasingly more applicable to organisms than prior methods.	NS
Gene editing	Gao says gene editing can provide very efficient tools for basic research and crop improvement, including in complex organisms like wheat.	In the last few years this technique and others have really taken off, and are already being used to develop potential treatments for genetic diseases .	NS
Gene editing	The study opens promising new avenues for the development of more effective treatments for a range of human diseases.	Alternatively, they might be able to reduce or even eliminate the mosquitoes for long enough to permanently eradicate the malaria parasite.	NS
Gene editing	Viruses and bacteria are not susceptible, while many plants, fungi, and some animals will be resistant because they frequently reproduce without sex.	Because most altered traits don't improve and may even decrease the organism's ability to survive and reproduce, they generally can't spread through wild populations.	SS
Gene editing	Gao says gene editing can provide very efficient tools for basic research and crop improvement, including in complex organisms like wheat.	also curator-level users can edit their gene's settings, so that curators can modify their gene's appearance without the need for a manager to help them out.	NS
Gene editing	Recently, however, a more powerful TAL tool was developed that allows scientists to target any sequence in the genome.	According to Church, CRISPR technology is on the scale of 100 times easier, ten times more efficient, and increasingly more applicable to organisms than prior methods.	NS
Gene editing	"""Double catastrophe: Intermittent stratospheric geoengineering induced by societal collapse""."	Municipally-owned utilities should promote solar by providing net-metering, Value of Solar rates, and by making investments in community-scale and utility-scale solar projects.	DTORCD
Gene editing	CAN GENOME EDITING CURE AIDS AND IS IT SAFE?	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	Thus, this pathway has proven most useful for rapidly achieving targeted gene knockout.	Similarly, only populations that have the sequence targeted by CRISPR can be altered by a drive, potentially allowing us to target subpopulations with unique sequences.	SS
Gene editing	"""Lamin A mutations mainly effect mesoderm-derived tissues, thus gene-editing in these cells could be an attractive therapeutic option."""	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	NS
Gene editing	Thus, this pathway has proven most useful for rapidly achieving targeted gene knockout.	Gene drives Genes can sometimes gain a fitness advantage that doesn't rely on the organism.	NS
Gene editing	"""Lamin A mutations mainly effect mesoderm-derived tissues, thus gene-editing in these cells could be an attractive therapeutic option."""	also curator-level users can edit their gene's settings, so that curators can modify their gene's appearance without the need for a manager to help them out.	NS
Gene editing	Gene drives Genes can sometimes gain a fitness advantage that doesn't rely on the organism.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	It has been clearly demonstrated that a relatively little increase in character-state space can provide enormous benefits for the accuracy of phylogenetic inference [ 39 ].	According to Church, CRISPR technology is on the scale of 100 times easier, ten times more efficient, and increasingly more applicable to organisms than prior methods.	NS
Gene editing	Past News Releases Fracking chemicals and fluids are used in the fracturing technique commonly known as hydraulic fracturing.	Regulatory and/or operational requirements may prohibit the migration or unprotected transmission of the secure data to the cloud.	DTORCD
Gene editing	Scientists quickly realized that CRISPR-Cas could potentially correct defects in the setting of human genetic disease.	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	NS
Gene editing	Genetically Mapping the Most Lethal E.Coli Strains New approach could lead to fewer deaths, and new treatments.	Effects of DNA damage proteins on gene editing Genetically based diseases are life threatening and they require lifelong treatment.	NS
Gene editing	* You can extend your rental up to 14 days - at the same cheap daily rental rate.	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	DTORCD
Gene editing	The study opens promising new avenues for the development of more effective treatments for a range of human diseases.	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	HS
Gene editing	Scientists at a company in California have developed a potentially revolutionary technique to permanently rewrite any gene in the human body.	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	NS
Gene editing	This approach could also make it easier to study human disease by inducing specific mutations in human stem cells.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	SS
Gene editing	Scientists at a company in California have developed a potentially revolutionary technique to permanently rewrite any gene in the human body.	TALENSOne of the new kids on the block is a tool that promises easy access to gene editing by even nonexperts in the field.	SS
Gene editing	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	also curator-level users can edit their gene's settings, so that curators can modify their gene's appearance without the need for a manager to help them out.	NS
Gene editing	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	It has been clearly demonstrated that a relatively little increase in character-state space can provide enormous benefits for the accuracy of phylogenetic inference [ 39 ].	NS
Gene editing	Clinical trials of its ability to stop the HIV virus infecting immune system cells will start in humans next year.	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	NS
Gene editing	This approach could also make it easier to study human disease by inducing specific mutations in human stem cells.	"""Considering that many human diseases are caused by genetic abnormalities, targeted genetic modification in monkeys is invaluable for the generation of human disease models."""	NS
