	topic	sentence_1	sentence_2	label
903	Fracking	Fracking this land has the potential to disrupt farming productivity, endanger livestock health and affect produce and livestock quality.	Fracking requires an enormous amount of water, and because fracking waste water contains dangerous toxins it generally cannot be cleaned and reused for other purposes.	NS
904	Fracking	2)  Fracking can contaminate water and water wells and suck towns dry.	Water Pollution and Shortages :  Fracking uses toxic chemicals like benzene (a carcinogen) and toluene and generates massive amounts of toxic wastewater.	SS
905	Fracking	And the toxic chemicals and heavy metals associated with fracking operations can contaminate the soil, air and water, leach into crops, and kill livestock.	1Fracking, which involves injecting huge volumes of toxic chemicals underground and producing vast quantities of contaminated wastewater, has a well-documented history of poisoning water.	SS
906	Fracking	Namely, there is widespread concern that fracking could contaminate drinking water for those living downstate.	Odorless and colorless, methane gas is not only explosive; it can also cause health problems if it contaminates air and drinking water.	SS
907	Fracking	Spills and leaks were one way fracking could lead to water contamination, but were relatively easy to manage.	And the toxic chemicals and heavy metals associated with fracking operations can contaminate the soil, air and water, leach into crops, and kill livestock.	SS
908	Fracking	An electric motor makes a big difference when it comes to cleaning our air and protecting our climate.	Environment Minister Veysel Erolu said dams are a necessity for generating energy, irrigating farmland and supporting local industry.	DTORCD
909	Fracking	It's outrageous that fracking companies that threaten public health don't even have to report which chemicals are contaminating our drinking water.	Fracking would increase risks to public safety by contaminating water supplies with toxic chemicals, disturbing natural environments, and releasing hazardous air emissions into communities.	SS
910	Fracking	Fracking would increase risks to public safety by contaminating water supplies with toxic chemicals, disturbing natural environments, and releasing hazardous air emissions into communities.	And the toxic chemicals and heavy metals associated with fracking operations can contaminate the soil, air and water, leach into crops, and kill livestock.	HS
911	Fracking	It's outrageous that fracking companies that threaten public health don't even have to report which chemicals are contaminating our drinking water.	"Nevertheless, the EPA and the media claim that shale companies keep the fracking chemicals they use ""top secret"" and that these chemicals could contaminate groundwater."	HS
912	Fracking	Fracking uses millions of litres of water and has the potential to contaminate drinking water with methane and toxic chemicals.	Fracking would increase risks to public safety by contaminating water supplies with toxic chemicals, disturbing natural environments, and releasing hazardous air emissions into communities.	HS
913	Fracking	3) Fracking contaminates water and water wells and can suck entire towns dry.	Fracking would increase risks to public safety by contaminating water supplies with toxic chemicals, disturbing natural environments, and releasing hazardous air emissions into communities.	SS
914	Fracking	"As ""Fracking by the Numbers"" shows, fracking has polluted water, damaged rural landscapes, and emitted dangerous air pollution in vast quantities across the country."	Environmentalists and drilling opponents say fracking threatens to drain and contaminate local water supplies, cause air pollution, industrialize pristine rural areas and contribute to global warming.	HS
915	Fracking	Odorless and colorless, methane gas is not only explosive; it can also cause health problems if it contaminates air and drinking water.	Issue updates Across the country, fracking is contaminating drinking water, making nearby families sick with air pollution, and turning forest acres into industrial zones.	SS
916	Fracking	"""Offshore frack jobs use dangerous chemicals and increase the risk of an oil spill that could devastate our entire coast."	Water Pollution and Shortages :  Fracking uses toxic chemicals like benzene (a carcinogen) and toluene and generates massive amounts of toxic wastewater.	SS
917	Fracking	Fracking is associated with a host of additional diseases and disorders ranging from respiratory illnesses and reproductive problems to cancers.	"Nevertheless, the EPA and the media claim that shale companies keep the fracking chemicals they use ""top secret"" and that these chemicals could contaminate groundwater."	NS
918	Fracking	1) Fracking leaks methane and other dangerous chemicals into the atmosphere at alarming rates.	And the toxic chemicals and heavy metals associated with fracking operations can contaminate the soil, air and water, leach into crops, and kill livestock.	SS
919	Fracking	2)  Fracking can contaminate water and water wells and suck towns dry.	Fracking also inflicts other damage not quantified in the report - ranging from contamination of residential wells to ruined roads to earthquakes at disposal sites.	SS
920	Fracking	Acidization pollutes our air, and acid is a hazardous substance that can leak and cause deadly accidents.	* In 2011, Ohio dumped 12.8 million barrels of toxic, radioactive waste into injection wells-injecting toxic waste into the ground as a means of disposing it.	NS
921	Fracking	* Construction of retroviral vectors and use of retroviral-mediated gene transfer for in vitro metabolic correction of various genetic disorders.	Offshore Toolpusher - International, Offshore - Scorpion Offshore Supervise, monitor, and report all rig operations as directd by the Offshore Installation Manager.	DTORCD
922	Fracking	Water contamination is a particular hazard with fracking because hundreds of toxic chemicals are used in fracking fluid.	"As ""Fracking by the Numbers"" shows, fracking has polluted water, damaged rural landscapes, and emitted dangerous air pollution in vast quantities across the country."	SS
923	Fracking	It's outrageous that fracking companies that threaten public health don't even have to report which chemicals are contaminating our drinking water.	Trucking and storage accidents have caused spills of fracking fluids and the salty water used - called brine - also resulting in contaminated drinking water.	HS
924	Fracking	Soils will have been contaminated, surface waters will have been contaminated, groundwater will have been contaminated.	* In 2011, Ohio dumped 12.8 million barrels of toxic, radioactive waste into injection wells-injecting toxic waste into the ground as a means of disposing it.	HS
925	Fracking	Fracking requires an enormous amount of water, and because fracking waste water contains dangerous toxins it generally cannot be cleaned and reused for other purposes.	New studies link fracking-related activities to contaminated groundwater, air pollution, illness, death and reproductive problems in cows, horses and wildlife, and most recently human health problems.	HS
926	Fracking	It's outrageous that fracking companies that threaten public health don't even have to report which chemicals are contaminating our drinking water.	One fear about fracking is that it will result in natural gas and toxic chemicals seeping into groundwater that is used for drinking water.	SS
927	Fracking	Fracking this land has the potential to disrupt farming productivity, endanger livestock health and affect produce and livestock quality.	And the toxic chemicals and heavy metals associated with fracking operations can contaminate the soil, air and water, leach into crops, and kill livestock.	HS
928	Fracking	As a water-poor state, fracking and its toxic wastewater presents a serious danger to our communities and ecosystems.	Fracking would increase risks to public safety by contaminating water supplies with toxic chemicals, disturbing natural environments, and releasing hazardous air emissions into communities.	SS
929	Fracking	The customizable membership card can be a fun element that can increase people's interest in sharing economy.	Parents who said they did not think about the diagnosis at home described using it elsewhere to get resources for their child.	DTORCD
930	Fracking	Fracking would increase risks to public safety by contaminating water supplies with toxic chemicals, disturbing natural environments, and releasing hazardous air emissions into communities.	Fracking Impacts Everyone The chemicals used in fracking are toxic and threaten to poison and pollute our air, water and food supplies- basic necessities for life.	HS
931	Fracking	2)  Fracking can contaminate water and water wells and suck towns dry.	And the toxic chemicals and heavy metals associated with fracking operations can contaminate the soil, air and water, leach into crops, and kill livestock.	SS
932	Fracking	2)  Fracking can contaminate water and water wells and suck towns dry.	Fracking Impacts Everyone The chemicals used in fracking are toxic and threaten to poison and pollute our air, water and food supplies- basic necessities for life.	SS
933	Fracking	"""Offshore frack jobs use dangerous chemicals and increase the risk of an oil spill that could devastate our entire coast."	The report concluded that a boom in fracking in California would worsen the danger of earthquakes, by greatly increasing oil wastewater production and underground injection.	NS
934	Fracking	Contaminating water supplies with toxic chemicals, disturbing natural environments, and releasing hazardous air emissions into communities is not okay.	And the toxic chemicals and heavy metals associated with fracking operations can contaminate the soil, air and water, leach into crops, and kill livestock.	SS
935	Fracking	Each fracked gas well requires hundreds of trips by diesel trucks hauling toxic chemicals and other hazardous materials.	Fracking uses millions of litres of water and has the potential to contaminate drinking water with methane and toxic chemicals.	SS
